Cod_setor,Cod_Grandes Regiġes,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,,,,,,,,,,
270030005000013,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300008,Caititus,1,0,82,321,3,91,2,5,716,59,1759040,5,1030,88,2214543,86,399,19,979437,37,834,13,1689088,32
270030005000014,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300008,Caititus,1,0,162,633,3,91,3,26,518,25,124663,55,579,1,103956,2,333,7,147082,31,558,15,120767,28
270030005000015,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300008,Caititus,1,0,287,1012,3,53,2,54,702,48,424804,8,757,94,416275,77,379,72,274612,96,631,67,297716,82
270030005000016,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300008,Caititus,1,0,308,1101,3,57,2,88,558,6,200880,49,605,8,189218,7,318,32,156049,11,530,72,147434,67
270030005000017,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300031,Senador Teotônio Vilela,1,0,335,1297,3,87,3,86,428,49,229853,61,507,23,232160,6,285,17,162859,54,471,76,181424,41
270030005000018,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300031,Senador Teotônio Vilela,1,0,223,801,3,59,3,4,542,31,263312,2,592,82,257866,88,310,26,177728,97,526,96,187698,84
270030005000019,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300031,Senador Teotônio Vilela,1,0,159,587,3,69,4,27,535,16,217343,52,586,83,207941,26,316,86,150762,18,492,1,147898,6
270030005000020,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300001,Alto do Cruzeiro,1,0,220,823,3,74,3,74,659,41,2156426,64,747,78,2380502,37,348,87,784931,1,613,84,1219533,85
270030005000021,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300001,Alto do Cruzeiro,1,0,289,941,3,26,2,66,1535,4,6305771,46,1713,24,6733127,43,852,23,3110240,9,1366,76,4286981,27
270030005000022,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300001,Alto do Cruzeiro,1,0,156,544,3,49,3,79,666,44,463718,36,732,14,461314,87,379,85,294482,15,603,14,333045,63
270030005000023,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300001,Alto do Cruzeiro,1,0,248,796,3,21,2,31,1199,38,1785429,57,1234,22,1794329,11,659,55,933940,41,973,4,1073096,49
270030005000024,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300001,Alto do Cruzeiro,1,0,284,934,3,29,2,25,2123,87,7726967,96,2242,3,7892896,88,1111,64,3785678,1,1631,73,4709835,67
270030005000025,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300001,Alto do Cruzeiro,1,0,303,1051,3,47,2,73,1197,72,2648891,42,1310,14,2750604,8,723,1967462,54,1133,82,2620742,65,
270030005000026,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300001,Alto do Cruzeiro,1,0,287,990,3,45,3,6,1155,41,2266968,6,1321,12,2373605,26,661,13,1268937,75,1055,85,1610413,7
